Year,Month,Reservoir water level on start of month (m),Effective gross storage on start on month (Mcum),%effective gross storage,Release for BMC/TMC other through power house (Mcum),%release for BMC/TMC,Release through escape gate,%release through escape gate,Release for irrigation through canal (Mcum),%release for irrigation,Release through spillway river (Mcum),%release through spillway,Leakage through gallery (Mcum),%leakage through gallery,Total release (Mcum) ,Reservoir evaporation on losses (Mcum),Other measured Leakages (Mcum),Reservoir water level on end of month (m),Gross storage on end of month (Mcum),%gross storage at the end of month,Calculated inflow of month (Mcum),
2017,Mar-17,127.29,620.826,63.603,59.77,73.853,6.558,8.103,14.24,17.593,0,0,0.365,0.451,80.933,3.3,0,123.17,539.636,55.285,3.04,
2017,Apr-17,123.04,537.172,55.032,61.259,80.161,5.5,7.197,9.28,12.145,0,0,0.38,0.497,76.419,3.834,0,118.7,459.762,47.102,2.844,
2017,May-17,118.53,456.881,46.807,68.295,84.899,11.7,14.544,0,0,0,0,0.448,0.557,80.443,3.6162,0,113.92,383.013,39.239,10.191,
2017,Jun-17,113.76,380.604,38.992,46.202,74.195,16.069,25.805,0,0,0,0,0,0,62.271,0.7984,0,117.58,441.009,45.181,123.474,
2017,Jul-17,119,464.888,47.627,16.52,60.628,9.44,34.645,0,0,1.185,4.349,0.103,0.378,27.248,0.685,0,137.41,852.643,87.352,415.688,
2017,Aug-17,137.28,849.368,87.016,36.542,73.824,9.968,20.138,0,0,2.822,5.701,0.167,0.337,49.499,0.88,0,140.45,931.653,95.446,132.664,
2017,Sep-17,140.57,934.946,95.784,27.35,73.352,9.25,24.808,0,0,0.45,1.207,0.236,0.633,37.286,1.07,0,141.84,971.403,99.519,74.813,
2017,Oct-17,141.86,971.99,99.579,47.347,78.588,12.61,20.931,0,0,0,0,0.29,0.481,60.247,2.22,0,140.94,945.097,96.824,35.574,
2017,Nov-17,140.85,942.628,96.571,59.307,77.031,17.504,22.735,0,0,0,0,0.18,0.234,76.991,2.209,0,138.16,871.608,89.295,8.18,
2017,Dec-17,138.02,868.02,88.927,66.26,78.738,9.671,11.492,6.26,7.44,1.09,1.295,0.87,1.034,84.151,3.29,0,134.66,785.187,80.441,4.609,
2018,Jan-18,134.55,782.539,80.17,59.54,66.559,8.775,9.809,14.31,15.997,0,0,6.83,7.635,89.455,3.29,0,130.95,699.261,71.638,9.467,
2018,Feb-18,130.83,696.624,71.368,68.081,78.751,5.1,5.899,9.47,10.954,0,0,3.8,4.396,86.451,2.19,0,127.28,620.619,63.581,12.636,
2018,Mar-18,127.16,618.134,63.327,62.35,72.931,9.812,11.477,13.21,15.452,0,0,0.12,0.14,85.492,3.7,0,122.78,532.338,54.537,3.396,
2018,Apr-18,122.6,529.002,54.195,60.4,74.029,6.3,7.722,13.89,17.024,0,0,1,1.226,81.59,4.597,0,117.9,446.29,45.722,3.475,
2018,May-18,117.75,443.815,45.468,60.8,80.821,7.75,10.302,2.62,3.483,0,0,4.058,5.394,75.228,4.87,0,112.78,365.923,37.488,2.206,
2018,Jun-18,112.63,363.714,37.262,42.309,83.931,7.5,14.878,0,0,0,0,0.6,1.19,50.409,0.79,3.008,113.66,379.099,38.838,69.592,
2018,Jul-18,113.9,382.712,39.208,7.531,47.95,7.375,46.957,0,0,0,0,0.8,5.094,15.706,0.68,0,135.93,815.852,83.583,449.526,
2018,Aug-18,135.92,815.61,83.558,33.135,79.253,7.675,18.357,0,0,0.299,0.715,0.7,1.674,41.809,0.887,0,140.71,938.787,96.177,165.873,
2018,Sep-18,140.76,940.158,96.318,7.582,42.46,9.675,54.18,0,0,0,0,0.6,3.36,17.857,1.074,0,140.02,919.856,94.238,0,
2018,Oct-18,139.91,916.951,93.94,6.332,27.485,13.95,60.556,0,0,2.465,10.7,0.29,1.259,23.037,2.221,0,137.04,843.321,86.397,0,
2018,Nov-18,136.94,840.827,86.141,60.931,81.465,13.425,17.949,0,0,0,0,0.438,0.586,74.794,1.1,0,133.92,767.427,78.622,2.494,
2018,Dec-18,133.82,765.083,78.382,56.562,71.759,12.9,16.366,8.49,10.771,0,0,0.87,1.104,78.822,3.29,0,130.55,690.471,70.738,7.5,
2019,Jan-19,130.44,688.053,70.49,55.141,73.34,11.625,15.462,5.84,7.768,0,0,2.579,3.43,75.185,3.298,0,126.86,611.983,62.697,2.413,
2019,Feb-19,126.75,609.755,62.468,52.961,72.978,8.975,12.367,7.89,10.872,0,0,2.745,3.783,72.571,1.645,0,123.25,541.152,55.44,5.613,
2019,Mar-19,123.12,538.688,55.188,64.227,79.21,4.632,5.713,9.33,11.5,0,0,2.9,3.577,81.089,2.7,0,118.73,460.268,47.154,5.364,
2019,Apr-19,118.59,457.904,46.912,59.516,84.721,8.433,12.004,0,0,0,0,2.3,3.274,70.249,2.835,0,113.66,379.099,38.838,0,
2019,May-19,113.88,382.411,39.177,59.295,87.43,8.525,12.57,0,0,0,0,0,0,67.82,0.79,0,108.61,306.915,31.443,0,
2019,Jun-19,108.43,304.491,31.195,42.309,83.931,7.5,14.878,0,0,0,0,0.6,1.19,50.409,0.79,3.008,105.15,262.203,26.862,11.919,
2019,Jul-19,105.76,269.895,27.65,7.531,47.95,7.375,46.957,0,0,0,0,0.8,5.094,15.706,0.68,0,138.02,868.02,88.927,614.511,
2019,Aug-19,137.96,866.05,88.726,33.135,79.253,7.675,18.357,0,0,0.299,0.715,0.7,1.674,41.809,0.887,0,141.52,962.009,98.556,138.655,
2019,Sep-19,141.36,957.312,98.075,7.582,42.46,9.675,54.18,0,0,0,0,0.6,3.36,17.857,1.074,0,141.95,974.632,99.85,36.251,
2019,Oct-19,141.96,974.926,99.88,6.332,27.485,13.95,60.556,0,0,2.465,10.7,0.29,1.259,23.037,2.221,0,141.43,959.367,98.286,9.699,
2019,Nov-19,141.36,957.312,98.075,60.931,81.465,13.425,17.949,0,0,0,0,0.438,0.586,74.794,1.1,0,138.9,890.569,91.237,9.151,
2019,Dec-19,138.78,887.494,90.922,56.562,71.759,12.9,16.366,8.49,10.771,0,0,0.87,1.104,78.822,3.29,0,135.51,805.699,82.543,0.317,
2020,Jan-20,135.41,803.281,82.295,55.141,73.34,11.625,15.462,5.84,7.768,0,0,2.579,3.43,75.185,3.298,0,131.89,720.404,73.804,0,
2020,Feb-20,131.76,717.476,73.504,52.961,72.978,8.975,12.367,7.89,10.872,0,0,2.745,3.783,72.571,1.645,0,128.17,649.127,66.502,5.867,
2020,Mar-20,128.02,635.953,65.152,64.227,79.21,4.632,5.713,9.33,11.5,0,0,2.9,3.577,81.089,2.7,0,123.82,551.955,56.547,0,
2020,Apr-20,123.65,548.733,56.217,59.516,84.721,8.433,12.004,0,0,0,0,2.3,3.274,70.249,2.835,0,119.25,469.167,48.065,0,
2020,May-20,119.1,466.564,47.799,59.295,87.43,8.525,12.57,0,0,0,0,0,0,67.82,0.79,0,113.91,382.862,39.224,0,
2020,Jun-20,113.71,379.852,38.915,42.309,83.931,7.5,14.878,0,0,0,0,0.6,1.19,50.409,0.79,3.008,108.79,309.34,31.691,0,
2020,Jul-20,108.63,307.185,31.471,7.531,47.95,7.375,46.957,0,0,0,0,0.8,5.094,15.706,0.68,0,123,536.414,54.955,245.615,
2020,Aug-20,123.07,537.741,55.091,33.135,79.253,7.675,18.357,0,0,0.299,0.715,0.7,1.674,41.809,0.887,0,141.2,952.714,97.604,457.669,
2020,Sep-20,141.2,952.614,97.594,7.582,42.46,9.675,54.18,0,0,0,0,0.6,3.36,17.857,1.074,0,141.95,973.164,99.699,39.481,
2020,Oct-20,141.9,973.164,99.699,6.332,27.485,13.95,60.556,0,0,2.465,10.7,0.29,1.259,23.037,2.221,0,141.18,952.027,97.534,4.121,
2020,Nov-20,141.1,949.679,97.293,60.931,81.465,13.425,17.949,0,0,0,0,0.438,0.586,74.794,1.1,0,138.3,875.195,89.662,1.41,
2020,Dec-20,138.2,872.633,89.4,56.562,71.759,12.9,16.366,8.49,10.771,0,0,0.87,1.104,78.822,3.29,0,134.9,790.963,81.033,0.442,
2021,Jan-21,134.8,788.556,80.786,55.141,73.34,11.625,15.462,5.84,7.768,0,0,2.579,3.43,75.185,3.298,0,131.4,707.116,72.443,0,
2021,Feb-21,131.2,704.864,72.212,52.961,72.978,8.975,12.367,7.89,10.872,0,0,2.745,3.783,72.571,1.645,0,127.55,626.211,64.154,0,
2021,Mar-21,127.4,623.104,63.836,64.227,79.21,4.632,5.713,9.33,11.5,0,0,2.9,3.577,81.089,2.7,0,123,536.414,54.955,0,
2021,Apr-21,122.8,532.708,54.575,59.516,84.721,8.433,12.004,0,0,0,0,2.3,3.274,70.249,2.835,0,117.9,446.29,45.722,0,
2021,May-21,112.7,364.745,37.368,59.295,87.43,8.525,12.57,0,0,0,0,0,0,67.82,0.79,0,113.2,372.175,38.129,76.04,
2021,Jun-21,112.7,364.745,37.368,42.309,83.931,7.5,14.878,0,0,0,0,0.6,1.19,50.409,0.79,3.008,113.2,372.175,38.129,61.637,
2021,Jul-21,113.7,396.625,40.634,7.531,47.95,7.375,46.957,0,0,0,0,0.8,5.094,15.706,0.68,0,133.8,764.614,78.334,384.375,
2021,Aug-21,134,769.302,78.814,33.135,79.253,7.675,18.357,0,0,0.299,0.715,0.7,1.674,41.809,0.887,0,139.13,896.534,91.849,169.928,
2021,Sep-21,139.35,902.293,92.439,7.582,42.46,9.675,54.18,0,0,0,0,0.6,3.36,17.857,1.074,0,141.88,972.577,99.639,89.215,
2021,Oct-21,139.91,916.951,93.94,6.332,27.485,13.95,60.556,0,0,2.465,10.7,0.29,1.259,23.037,2.221,0,137.04,843.321,86.397,0,
2021,Nov-21,136.94,840.827,86.141,60.931,81.465,13.425,17.949,0,0,0,0,0.438,0.586,74.794,1.1,0,133.92,767.427,78.622,2.494,
2021,Dec-21,133.82,765.083,78.382,56.562,71.759,12.9,16.366,8.49,10.771,0,0,0.87,1.104,78.822,3.29,0,130.55,690.471,70.738,7.5,
2022,Jan-22,135.4,803.04,82.27,55.141,73.34,11.625,15.462,5.84,7.768,0,0,2.579,3.43,75.185,3.298,0,131.8,718.372,73.596,0,
2022,Feb-22,131.7,716.125,73.366,52.961,75.847,6.23,8.922,7.89,11.3,0,0,2.745,3.931,69.826,1.645,0,128.1,637.646,65.326,0,
2022,Mar-22,128.1,635.053,65.06,64.227,82.149,1.732,2.215,9.33,11.927,0,0,2.9,3.709,78.189,2.7,0,124,555.366,56.896,1.197,
2022,Apr-22,123.85,552.523,56.605,59.516,84.721,8.433,12.004,0,0,0,0,2.3,3.274,70.249,2.835,0,119.4,471.77,48.332,0,
2022,May-22,119.2,468.299,47.977,59.295,87.43,8.525,12.57,0,0,0,0,0,0,67.82,0.79,0,114.2,387.319,39.68,0,
2022,Jun-22,114,350.217,35.879,42.309,83.931,7.5,14.878,0,0,0,0,0.6,1.19,50.409,0,3.008,110.5,333.037,34.119,36.237,
2022,Jul-22,110.8,337.243,34.55,7.531,47.95,7.375,46.957,0,0,0,0,0.8,5.094,15.706,0,0,138.22,873.145,89.452,551.608,
2022,Aug-22,138.28,874.682,89.61,33.135,79.253,7.675,18.357,0,0,0.299,0.715,0.7,1.674,41.809,0,0,141.09,974.199,99.805,141.326,
2022,Sep-22,141.36,957.312,98.075,7.582,42.46,9.675,54.18,0,0,0,0,0.6,3.36,17.857,0,0,142,974.199,99.805,34.744,
2022,Oct-22,142.05,975.551,99.944,6.332,27.485,13.95,60.556,0,0,2.465,10.7,0.29,1.259,23.037,0,0,141.28,954.928,97.831,2.414,
2022,Nov-22,141.2,952.614,97.594,60.931,81.465,13.425,17.949,0,0,0,0,0.438,0.586,74.794,0,0,138.36,876.732,89.82,0,
2022,Dec-22,138.26,874.17,89.557,56.562,71.759,12.9,16.366,8.49,10.771,0,0,0.87,1.104,78.822,0,0,134.8,788.556,80.786,0,
2023,Jan-23,130.44,688.053,70.49,55.141,73.34,11.625,15.462,5.84,7.768,0,0,2.579,3.43,75.185,0,0,126.86,611.983,62.697,0,
2023,Feb-23,130.35,686.076,70.287,52.961,75.847,6.23,8.922,7.89,11.3,0,0,2.745,3.931,69.826,0,0,126.5,603.689,61.847,0,
2023,Mar-23,126.3,601.65,61.638,64.227,82.149,1.732,2.215,9.33,11.927,0,0,2.9,3.709,78.189,0,0,121.75,513.359,52.593,0,
2023,Apr-23,121.65,518.549,53.125,59.516,84.721,8.433,12.004,0,0,0,0,2.3,3.274,70.249,0,0,116.9,429.826,44.035,0,
2023,May-23,116.7,426.603,43.705,59.295,87.43,8.525,12.57,0,0,0,0,0,0,67.82,0,0,110.95,339.331,34.764,0,
